week,date,ID,treat,totalmass,bagmass,mass,original_mass_2_27,SVL,deltamass,percentofstartweight,percentgrowthrate,notes,crickseaten,cricksfed,propcrick,percpercgrowthrate
13.28571429,5_24_2019,5,0.15,14.55,7.75,6.8,5.5,56.5,-0.05,1.236363636,0.99270073,,,,,
13.28571429,5_24_2019,6,0.15,15.4,7.75,7.65,6.85,60,-0.3,1.116788321,0.962264151,,,,,
13.28571429,5_24_2019,10,0.15,12.8,7.75,5.05,6.35,57.6,-0.3,0.795275591,0.943925234,,,,,
13.28571429,5_24_2019,25,0.15,13.25,7.75,5.5,8.15,54.5,0.2,0.674846626,1.037735849,,,,,
13.28571429,5_24_2019,39,0.15,13.6,7.8,5.8,5.05,58.2,0.25,1.148514851,1.045045045,,,,,
13.28571429,5_24_2019,42,0.15,13.15,7.75,5.4,6.35,58.7,-0.55,0.850393701,0.907563025,,,,,
13.28571429,5_24_2019,63,0.15,14.7,7.75,6.95,6.5,57.3,-0.15,1.069230769,0.978873239,,,,,
13.28571429,5_24_2019,71,0.15,15.45,7.75,7.7,4.85,59.6,-0.3,1.587628866,0.9625,,,,,
13.28571429,5_24_2019,79,0.15,15.9,7.8,8.1,5.9,56.8,-0.05,1.372881356,0.993865031,,,,,
13.28571429,5_24_2019,80,0.15,13.65,7.75,5.9,5.95,58.6,0,0.991596639,1,,,,,
13.28571429,5_24_2019,16,0.45,13.15,7.8,5.35,5.3,49.5,-0.05,1.009433962,0.990740741,,,,,
13.28571429,5_24_2019,26,0.45,11.8,7.8,4,7.2,56.7,-0.05,0.555555556,0.987654321,,,,,
13.28571429,5_24_2019,28,0.45,14.55,7.75,6.8,6.55,57.7,-0.35,1.038167939,0.951048951,,,,,
13.28571429,5_24_2019,32,0.45,15.85,7.8,8.05,8.35,59.2,-0.2,0.964071856,0.975757576,,,,,
13.28571429,5_24_2019,40,0.45,14.35,7.8,6.55,5.8,60.3,0,1.129310345,1,,,,,
13.28571429,5_24_2019,44,0.45,13.8,7.75,6.05,6.7,60.8,-0.25,0.902985075,0.96031746,,,,,
13.28571429,5_24_2019,57,0.45,12.55,7.75,4.8,5.2,56.9,-0.2,0.923076923,0.96,,,,,
13.28571429,5_24_2019,72,0.45,14,7.75,6.25,5.1,59.9,-0.5,1.225490196,0.925925926,,,,,
13.28571429,5_24_2019,76,0.45,14.1,7.75,6.35,6.05,56.9,-0.05,1.049586777,0.9921875,,,,,
13.28571429,5_24_2019,81,0.45,14.85,7.75,7.1,4.6,55.1,0.35,1.543478261,1.051851852,,,,,
13.28571429,5_24_2019,13,1.35,13.3,7.75,5.55,5.5,53.8,0.3,1.009090909,1.057142857,,,,,
13.28571429,5_24_2019,22,1.35,14.45,7.75,6.7,7.9,58.6,-0.1,0.848101266,0.985294118,,,,,
13.28571429,5_24_2019,24,1.35,12.2,7.8,4.4,6.4,54,-0.25,0.6875,0.946236559,,,,,
13.28571429,5_24_2019,27,1.35,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
13.28571429,5_24_2019,49,1.35,11.9,7.8,4.1,6.5,53.2,-0.1,0.630769231,0.976190476,,,,,
13.28571429,5_24_2019,58,1.35,15.65,7.8,7.85,7.5,61,0,1.046666667,1,,,,,
13.28571429,5_24_2019,66,1.35,13.5,7.8,5.7,5.35,56.5,-0.2,1.065420561,0.966101695,,,,,
13.28571429,5_24_2019,77,1.35,14.6,7.8,6.8,6.75,59.3,0.05,1.007407407,1.007407407,,,,,
13.28571429,5_24_2019,78,1.35,13.5,7.75,5.75,5.5,55.9,-0.2,1.045454545,0.966386555,,,,,
13.28571429,5_24_2019,82,1.35,14.5,7.75,6.75,5.3,56.6,0,1.273584906,1,,,,,
