week,date,ID,room,sex,totalmass,originalmass,bagmass,mass,SVL,deltalizardmass,percentofstartweight,percentgrowthrate,notes,pregnant,eggorplug,treat,deltastartmass,weeklymeanmass,weeklymeanSVL,weeklyMi,percentMi,percent1stMi,
1,8/15/2018,13,A,m,12.9,4.75,7.8,5.1,56.8,0.35,1.073684211,1.073684211,,n,n,2,0.35,3.803174603,51.65238095,3.553520582,1,1,
1,8/15/2018,14,A,m,14.3,6.5,7.75,6.55,64,0.05,1.007692308,1.007692308,,n,n,0.02,0.05,3.803174603,51.65238095,2.898712804,1,1,
1,8/15/2018,15,A,f,11.05,3.1,7.8,3.25,49.1,0.15,1.048387097,1.048387097,,n,n,0,0.15,3.803174603,51.65238095,3.940822489,1,1,
1,8/15/2018,16,A,m,14.2,6.45,7.75,6.45,62.2,0,1,1,,n,n,2,0,3.803174603,51.65238095,3.18158386,1,1,
1,8/15/2018,17,A,m,13.45,5.3,7.75,5.7,57.7,0.4,1.075471698,1.075471698,,n,n,0.02,0.4,3.803174603,51.65238095,3.74108371,1,1,?
1,8/15/2018,18,A,f,9.95,2.15,7.75,2.2,44.2,0.05,1.023255814,1.023255814,pregnant,y,n,0.2,0.05,3.803174603,51.65238095,3.979020615,1,1,
1,8/15/2018,19,A,m,13.35,5.2,7.75,5.6,60.3,0.4,1.076923077,1.076923077,,n,n,0.2,0.4,3.803174603,51.65238095,3.108222748,1,1,
1,8/15/2018,21,A,m,13.3,5.55,7.75,5.55,57.7,0,1,1,,n,n,0.2,0,3.803174603,51.65238095,3.642634139,1,1,
1,8/15/2018,22,A,m,13.15,5.35,7.8,5.35,54.1,0,1,1,,n,n,0.02,0,3.803174603,51.65238095,4.486251905,1,1,
1,8/15/2018,23,A,f,10.1,2.5,7.8,2.3,46.7,-0.2,0.92,0.92,,n,n,2,-0.2,3.803174603,51.65238095,3.374473064,1,1,
1,8/15/2018,24,A,m,12.75,5.15,7.75,5,53.4,-0.15,0.970873786,0.970873786,,n,n,0.2,-0.15,3.803174603,51.65238095,4.405656817,1,1,
1,8/15/2018,25,A,m,11.7,4,7.8,3.9,55.8,-0.1,0.975,0.975,,n,n,0.02,-0.1,3.803174603,51.65238095,2.907310891,1,1,
1,8/15/2018,27,A,f,10.25,2.6,7.75,2.5,47.8,-0.1,0.961538462,0.961538462,,n,n,0,-0.1,3.803174603,51.65238095,3.357099235,1,1,
1,8/15/2018,28,A,m,13.3,5.4,7.75,5.55,57.2,0.15,1.027777778,1.027777778,,n,n,0.2,0.15,3.803174603,51.65238095,3.765223264,1,1,
1,8/15/2018,30,A,m,12.55,4.7,7.75,4.8,55,0.1,1.021276596,1.021276596,,n,n,0.02,0.1,3.803174603,51.65238095,3.780243289,1,1,
1,8/15/2018,32,A,m,13.9,6.2,7.75,6.15,61,-0.05,0.991935484,0.991935484,,n,n,0.2,-0.05,3.803174603,51.65238095,3.266899118,1,1,
1,8/15/2018,33,A,m,13.6,5.95,7.75,5.85,61.5,-0.1,0.983193277,0.983193277,,n,n,2,-0.1,3.803174603,51.65238095,3.01254229,1,1,
1,8/15/2018,34,A,m,14.3,6.15,7.8,6.5,58.8,0.35,1.056910569,1.056910569,,n,n,2,0.35,3.803174603,51.65238095,3.970490318,1,1,
1,8/15/2018,35,A,m,14.7,6.4,7.75,6.95,60.5,0.55,1.0859375,1.0859375,,n,n,0.02,0.55,3.803174603,51.65238095,3.809252044,1,1,
1,8/15/2018,36,A,m,13.45,5.65,7.75,5.7,60.3,0.05,1.008849558,1.008849558,,n,n,0,0.05,3.803174603,51.65238095,3.163726725,1,1,
1,8/15/2018,37,A,m,13.8,6,7.75,6.05,60.9,0.05,1.008333333,1.008333333,,n,n,0,0.05,3.803174603,51.65238095,3.233894931,1,1,
1,8/15/2018,38,A,m,13.85,5.65,7.8,6.05,63.9,0.4,1.07079646,1.07079646,,n,n,0,0.4,3.803174603,51.65238095,2.693407465,1,1,
1,8/15/2018,40,B,m,14.25,6.4,7.75,6.5,63.1,0.1,1.015625,1.015625,,n,n,0,0.1,3.803174603,51.65238095,3.035771694,1,1,
1,8/15/2018,41,B,f,10.15,2.25,7.75,2.4,42.2,0.15,1.066666667,1.066666667,egg plug,n,y,0.02,0.15,3.803174603,51.65238095,5.176615408,1,1,
1,8/15/2018,42,B,f,9.7,1.85,7.75,1.95,43.8,0.1,1.054054054,1.054054054,,n,n,2,0.1,3.803174603,51.65238095,3.650931269,1,1,
1,8/15/2018,43,B,f,9.65,2.05,7.8,1.85,44.9,-0.2,0.902439024,0.902439024,,n,n,2,-0.2,3.803174603,51.65238095,3.151897609,1,1,
1,8/15/2018,44,B,m,12.25,4.35,7.75,4.5,55.5,0.15,1.034482759,1.034482759,,n,n,0,0.15,3.803174603,51.65238095,3.424076307,1,1,
1,8/15/2018,45,B,m,11.15,3.4,7.8,3.35,51.5,-0.05,0.985294118,0.985294118,,n,n,0,-0.05,3.803174603,51.65238095,3.387854285,1,1,
1,8/15/2018,48,B,f,8.85,1.2,7.75,1.1,36.6,-0.1,0.916666667,0.916666667,,n,n,0.02,-0.1,3.803174603,51.65238095,4.07739535,1,1,
1,8/15/2018,49,B,f,9.05,1.4,7.75,1.3,38.9,-0.1,0.928571429,0.928571429,,n,n,0.02,-0.1,3.803174603,51.65238095,3.821810092,1,1,
1,8/15/2018,52,B,f,9.05,1.85,7.8,1.25,39.2,-0.6,0.675675676,0.675675676,,n,n,0.2,-0.6,3.803174603,51.65238095,3.569000444,1,1,
1,8/15/2018,53,B,f,9.8,2.2,7.8,2,46,-0.2,0.909090909,0.909090909,egg,n,y,0.2,-0.2,3.803174603,51.65238095,3.107801941,1,1,
1,8/15/2018,54,B,f,9.85,1.75,7.75,2.1,43.2,0.35,1.2,1.2,egg,n,y,0.2,0.35,3.803174603,51.65238095,4.143532405,1,1,
1,8/15/2018,55,B,f,10.05,2.95,7.75,2.3,48.2,-0.65,0.779661017,0.779661017,egg,n,y,0.2,-0.65,3.803174603,51.65238095,2.992180435,1,1,
1,8/15/2018,56,B,f,9.85,2.65,7.8,2.05,44.2,-0.05,0.981132075,0.981132075,pregnant,y,n,2,-0.05,3.803174603,51.65238095,4.702478909,1,1,
1,8/15/2018,59,B,f,8.75,1.2,7.75,1,36.5,-0.2,0.833333333,0.833333333,,n,n,0,-0.2,3.803174603,51.65238095,3.745494381,1,1,
1,8/15/2018,60,B,f,9.5,1.55,7.8,1.7,41.3,0.15,1.096774194,1.096774194,,n,n,0.2,0.15,3.803174603,51.65238095,3.980067335,1,1,
1,8/15/2018,63,B,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,
1,8/15/2018,64,B,f,10.25,2.35,7.75,2.5,47.7,0.15,1.063829787,1.063829787,,n,n,0,0.15,3.803174603,51.65238095,3.383944513,1,1,
1,8/15/2018,66,B,f,9.5,1.85,7.8,1.7,48.2,-0.15,0.918918919,0.918918919,,n,n,0.2,-0.15,3.803174603,51.65238095,2.211611626,1,1,
1,8/15/2018,67,B,f,9.45,1.75,7.85,1.6,41.5,-0.15,0.914285714,0.914285714,,n,n,2,-0.15,3.803174603,51.65238095,3.677750381,1,1,
1,8/15/2018,68,B,f,10.65,2.6,7.75,2.9,47.4,0.3,1.115384615,1.115384615,egg,n,y,0,0.3,3.803174603,51.65238095,4.020703639,1,1,
1,8/15/2018,70,B,f,9.1,1.6,7.8,1.3,44.5,-0.3,0.8125,0.8125,egg,n,y,2,-0.3,3.803174603,51.65238095,2.29152245,1,1,
1,8/15/2018,73,B,f,9.9,1.9,7.8,2.1,47.4,0.2,1.105263158,1.105263158,,n,n,0.02,0.2,3.803174603,51.65238095,2.911544014,1,1,
1,8/15/2018,74,B,f,10.75,2.6,7.8,2.95,47.2,0.35,1.134615385,1.134615385,,n,n,2,0.35,3.803174603,51.65238095,4.156329927,1,1,
1,8/15/2018,75,B,f,10.5,2.45,7.75,2.75,45.7,0.3,1.12244898,1.12244898,,n,n,0.02,0.3,3.803174603,51.65238095,4.380899123,1,1,
1,8/15/2018,76,B,f,9.95,2.5,7.8,2.15,45.2,-0.35,0.86,0.86,egg,n,y,0,-0.35,3.803174603,51.65238095,3.57140987,1,1,
1,8/15/2018,77,B,f,10.55,2.6,7.8,2.75,47.8,0.15,1.057692308,1.057692308,pregnant,y,n,0,0.15,3.803174603,51.65238095,3.692809158,1,1,
1,8/15/2018,78,B,f,9.85,2.3,7.8,2.05,43,-0.25,0.891304348,0.891304348,egg,n,y,0.02,-0.25,3.803174603,51.65238095,4.116895187,1,1,
1,8/15/2018,79,B,f,10.8,2.9,7.8,3,47,0.1,1.034482759,1.034482759,,n,n,0.2,0.1,3.803174603,51.65238095,4.295590192,1,1,
1,8/15/2018,80,A,f,10.2,2.5,7.75,2.45,45.5,-0.05,0.98,0.98,egg,n,y,0,-0.05,3.803174603,51.65238095,3.968633038,1,1,
1,8/15/2018,81,A,f,10.45,2.5,7.75,2.7,43,0.2,1.08,1.08,egg,n,y,0.02,0.2,3.803174603,51.65238095,5.422252198,1,1,
1,8/15/2018,82,A,f,9.7,1.5,7.8,1.9,47,0.4,1.266666667,1.266666667,,n,n,0.02,0.4,3.803174603,51.65238095,2.720540455,1,1,
2,8/22/2018,2,A,m,13.15,5.15,7.8,5.35,57.6,-0.05,1.038834951,0.990740741,,n,n,0.2,0.2,3.671875,50.946875,3.408982176,1.130226421,1.130226421,
2,8/22/2018,3,A,m,11.75,3.95,7.8,3.95,53.9,0.1,1,1.025974026,,n,n,2,0,3.671875,50.946875,3.21175089,1.044685314,1.044685314,
2,8/22/2018,4,A,m,12.1,4.8,7.8,4.3,57.6,-0.5,0.895833333,0.895833333,,n,n,0.02,-0.5,3.671875,50.946875,2.739929599,1.021957067,1.021957067,
2,8/22/2018,5,A,m,11.3,3.75,7.8,3.5,52.4,-0.05,0.933333333,0.985915493,,n,n,2,-0.25,3.671875,50.946875,3.156608559,0.966692317,0.966692317,
2,8/22/2018,6,A,m,13.3,5.85,7.8,5.5,57,-0.35,0.94017094,0.94017094,,n,n,0.2,-0.35,3.671875,50.946875,3.641933056,1.150197291,1.150197291,
2,8/22/2018,7,A,m,13.75,5.95,7.8,5.95,60.5,-0.05,1,0.991666667,,n,n,2,0,3.671875,50.946875,3.165601217,0.874948832,0.874948832,
2,8/22/2018,8,A,m,13.9,6.05,7.8,6.1,64.6,-0.15,1.008264463,0.976,,n,n,0,0.05,3.671875,50.946875,2.550965369,0.812372519,0.812372519,
2,8/22/2018,9,A,m,13.75,6.3,7.8,5.95,61,-0.1,0.944444444,0.983471074,,n,n,0.2,-0.35,3.671875,50.946875,3.071363597,1.080439475,1.080439475,
2,8/22/2018,10,A,m,12.6,5.4,7.8,4.8,61.4,-1.25,0.888888889,0.79338843,,n,n,2,-0.6,3.671875,50.946875,2.418982655,0.663063439,0.663063439,
2,8/22/2018,11,A,m,12.2,4.6,7.8,4.4,54.3,-0.05,0.956521739,0.988764045,,n,n,0.02,-0.2,3.671875,50.946875,3.481823939,0.966300136,0.966300136,
2,8/22/2018,12,A,m,11.45,3.2,7.8,3.65,50.3,0.05,1.140625,1.013888889,,n,n,0,0.45,3.671875,50.946875,3.825341166,1.425413295,1.425413295,
2,8/22/2018,13,A,m,12.75,4.75,7.8,4.95,59,-0.15,1.042105263,0.970588235,,n,n,2,0.2,3.671875,50.946875,2.887887184,0.812683399,0.812683399,
2,8/22/2018,14,A,m,14.3,6.5,7.8,6.5,61.6,-0.05,1,0.992366412,,n,n,0.02,0,3.671875,50.946875,3.23682287,1.11664145,1.11664145,
2,8/22/2018,15,A,f,10.9,3.1,7.8,3.1,50.2,-0.15,1,0.953846154,,n,n,0,0,3.671875,50.946875,3.272747405,0.830473185,0.830473185,
2,8/22/2018,16,A,m,14.1,6.45,7.8,6.3,62.5,-0.15,0.976744186,0.976744186,,n,n,2,-0.15,3.671875,50.946875,2.97451296,0.934915781,0.934915781,
2,8/22/2018,17,A,m,13.2,5.3,7.8,5.4,57.2,-0.3,1.018867925,0.947368421,,n,n,0.02,0.1,3.671875,50.946875,3.530022482,0.943582864,0.943582864,?
2,8/22/2018,18,A,f,10.25,2.15,7.8,2.45,44.4,0.25,1.139534884,1.113636364,,y,n,0.2,0.3,3.671875,50.946875,4.059793984,1.020299812,1.020299812,
2,8/22/2018,19,A,m,13.15,5.2,7.8,5.35,59.9,-0.25,1.028846154,0.955357143,,n,n,0.2,0.15,3.671875,50.946875,2.952479721,0.949893222,0.949893222,
2,8/22/2018,21,A,m,13.4,5.55,7.8,5.6,57.8,0.05,1.009009009,1.009009009,,n,n,0.2,0.05,3.671875,50.946875,3.52315297,0.96719924,0.96719924,
2,8/22/2018,22,A,m,12.4,5.35,7.8,4.6,58.2,-0.75,0.859813084,0.859813084,,n,n,0.02,-0.75,3.671875,50.946875,2.821652337,0.628955395,0.628955395,
2,8/22/2018,23,A,f,10.25,2.5,7.8,2.45,44,0.15,0.98,1.065217391,,n,n,2,-0.05,3.671875,50.946875,4.196966886,1.243739928,1.243739928,
2,8/22/2018,24,A,m,13.25,5.15,7.85,5.4,57.1,0.4,1.048543689,1.08,,n,n,0.2,0.25,3.671875,50.946875,3.552775822,0.806412294,0.806412294,
2,8/22/2018,25,A,m,11.7,4,7.8,3.9,55.9,0,0.975,1,,n,n,0.02,-0.1,3.671875,50.946875,2.774017073,0.954152197,0.954152197,
2,8/22/2018,26,B,f,9.95,2.25,7.8,2.15,44,0.05,0.955555556,1.023809524,,n,n,0,-0.1,3.671875,50.946875,3.683052573,1,1,
2,8/22/2018,27,A,f,10.4,2.6,7.75,2.65,46.8,0.15,1.019230769,1.06,,n,n,0,0.05,3.671875,50.946875,3.619379622,1.078127088,1.078127088,
2,8/22/2018,28,A,m,13.15,5.4,7.85,5.3,55,-0.25,0.981481481,0.954954955,,n,n,0.2,-0.1,3.671875,50.946875,4.001325427,1.062706019,1.062706019,
2,8/22/2018,30,A,m,12.25,4.7,7.8,4.45,55.4,-0.35,0.946808511,0.927083333,,n,n,0.02,-0.25,3.671875,50.946875,3.2713902,0.865391445,0.865391445,
2,8/22/2018,32,A,m,13.8,6.2,7.8,6,60.7,-0.15,0.967741935,0.975609756,,n,n,0.2,-0.2,3.671875,50.946875,3.153751936,0.965365572,0.965365572,
2,8/22/2018,33,A,m,13.65,5.95,7.8,5.85,63.7,0,0.983193277,1,,n,n,2,-0.1,3.671875,50.946875,2.57574961,0.855008615,0.855008615,
2,8/22/2018,34,A,m,13.9,6.15,7.8,6.1,59.9,-0.4,0.991869919,0.938461538,,n,n,2,-0.05,3.671875,50.946875,3.366378747,0.84784963,0.84784963,
2,8/22/2018,35,A,m,14.45,6.4,7.8,6.65,60.8,-0.3,1.0390625,0.956834532,,n,n,0.02,0.25,3.671875,50.946875,3.474345028,0.912080636,0.912080636,
2,8/22/2018,36,A,m,13.1,5.65,7.75,5.35,60.5,-0.35,0.946902655,0.938596491,,n,n,0,-0.3,3.671875,50.946875,2.846380926,0.899692411,0.899692411,
2,8/22/2018,37,A,m,13.75,6,7.8,5.95,59.3,-0.1,0.991666667,0.983471074,,n,n,0,-0.05,3.671875,50.946875,3.407250142,1.053605703,1.053605703,
2,8/22/2018,38,A,m,13.65,5.65,7.8,5.85,60.3,-0.2,1.03539823,0.966942149,,n,n,0,0.2,3.671875,50.946875,3.150471029,1.169697147,1.169697147,
2,8/22/2018,40,B,m,14.4,6.4,7.8,6.6,61.9,0.1,1.03125,1.015384615,,n,n,0,0.2,3.671875,50.946875,3.228509647,1.063488948,1.063488948,
2,8/22/2018,41,B,f,10.05,2.25,7.8,2.25,44.3,-0.15,1,0.9375,eggs,n,y,0.02,0,3.671875,50.946875,3.759378823,0.726223319,0.726223319,
2,8/22/2018,42,B,f,9.9,1.85,7.8,2.1,42.9,0.15,1.135135135,1.076923077,,n,n,2,0.25,3.671875,50.946875,3.947866241,1.081331296,1.081331296,
2,8/22/2018,43,B,f,9.2,2.05,7.8,1.4,44.1,-0.45,0.682926829,0.756756757,,n,n,2,-0.65,3.671875,50.946875,2.378358645,0.75457992,0.75457992,
2,8/22/2018,44,B,m,12.3,4.35,7.8,4.5,55.5,0,1.034482759,1,,n,n,0,0.15,3.671875,50.946875,3.28631335,0.959766388,0.959766388,
2,8/22/2018,45,B,m,11.15,3.4,7.8,3.35,50.7,0,0.985294118,1,,n,n,0,-0.05,3.671875,50.946875,3.410287248,1.006621584,1.006621584,
2,8/22/2018,48,B,f,9.15,1.2,7.8,1.35,37.9,0.25,1.125,1.227272727,,n,n,0.02,0.15,3.671875,50.946875,4.000278004,0.981086615,0.981086615,
2,8/22/2018,49,B,f,9.1,1.4,7.85,1.25,39.4,-0.05,0.892857143,0.961538462,,n,n,0.02,-0.15,3.671875,50.946875,3.211955933,0.840427927,0.840427927,
2,8/22/2018,52,B,f,9.25,1.85,7.8,1.45,37.4,0.2,0.783783784,1.16,,n,n,0.2,-0.4,3.671875,50.946875,4.511306587,1.264025224,1.264025224,
2,8/22/2018,53,B,f,9.8,2.2,7.8,2,45.5,0,0.909090909,1,,n,n,0.2,-0.2,3.671875,50.946875,3.029295595,0.974738948,0.974738948,
2,8/22/2018,54,B,f,10.15,1.75,7.8,2.35,42.4,0.25,1.342857143,1.119047619,,n,n,0.2,0.6,3.671875,50.946875,4.612178557,1.11310305,1.11310305,
2,8/22/2018,55,B,f,10.05,2.95,7.8,2.25,46.7,-0.05,0.762711864,0.97826087,,n,n,0.2,-0.7,3.671875,50.946875,3.097289869,1.03512804,1.03512804,
2,8/22/2018,56,B,f,10.4,2.65,7.8,2.6,45,0,0.981132075,1.268292683,,y,n,2,-0.05,3.671875,50.946875,4.101152358,0.872125625,0.872125625,
2,8/22/2018,60,B,f,9.6,1.55,7.85,1.75,39.7,0.05,1.129032258,1.029411765,,n,n,0.2,0.2,3.671875,50.946875,4.373220864,1.098780623,1.098780623,
2,8/22/2018,62,B,f,8.75,0.95,7.8,0.95,33.3,-0.05,1,0.95,,n,n,0,0,3.671875,50.946875,4.527108885,1,1,
2,8/22/2018,63,,f,9.05,1.25,7.8,1.25,36.9,NA,1,NA,,n,n,2,0,3.671875,50.946875,4.086084368,NA,NA,
2,8/22/2018,64,B,f,9.95,2.35,7.8,2.15,47.2,-0.35,0.914893617,0.86,egg 8/17,y,y,0,-0.2,3.671875,50.946875,2.846131346,0.841069153,0.841069153,
2,8/22/2018,66,B,f,9.65,1.85,7.8,1.85,45,0.15,1,1.088235294,,n,n,0.2,0,3.671875,50.946875,2.91812764,1.319457542,1.319457542,
2,8/22/2018,67,B,f,9.15,1.75,7.8,1.35,41.5,-0.25,0.771428571,0.84375,,y,n,2,-0.4,3.671875,50.946875,2.866722586,0.779477205,0.779477205,
2,8/22/2018,70,B,f,8.95,1.6,7.8,1.15,42.8,-0.15,0.71875,0.396551724,egg 8/20,n,y,2,-0.45,3.671875,50.946875,2.180532207,0.951564846,0.951564846,
2,8/22/2018,73,B,f,10,1.9,7.8,2.2,47,0.1,1.157894737,1.692307692,,n,n,0.02,0.3,3.671875,50.946875,2.958084757,1.015984901,1.015984901,
2,8/22/2018,74,B,f,10.55,2.6,7.8,2.75,46.2,-0.2,1.057692308,1.30952381,egg 8/22,y,y,2,0.15,3.671875,50.946875,3.938199336,0.947518461,0.947518461,
2,8/22/2018,75,B,f,10.5,2.45,7.8,2.7,45,-0.05,1.102040816,0.915254237,,n,n,0.02,0.25,3.671875,50.946875,4.258888988,0.972149522,0.972149522,
2,8/22/2018,76,B,f,10.35,2.5,7.8,2.55,45.2,0.4,1.02,0.927272727,,n,n,0,0.05,3.671875,50.946875,3.957318404,1.108054955,1.108054955,
2,8/22/2018,77,B,f,10.8,2.6,7.8,3,48.3,0.25,1.153846154,1.395348837,,n,n,0,0.4,3.671875,50.946875,3.649220776,0.988196416,0.988196416,
2,8/22/2018,78,B,f,10.1,2.3,7.8,2.3,43.1,0.25,1,0.836363636,,n,n,0.02,0,3.671875,50.946875,4.250635494,1.032485721,1.032485721,
2,8/22/2018,79,B,f,10.7,2.9,7.8,2.9,50,-0.1,1,1.414634146,,y,n,0.2,0,3.671875,50.946875,3.106810527,0.723255801,0.723255801,
2,8/22/2018,80,A,f,10.25,2.5,7.75,2.5,45.4,0.05,1,0.833333333,,n,n,0,0,3.671875,50.946875,3.817335259,0.961876601,0.961876601,
2,8/22/2018,81,A,f,10.5,2.5,7.8,2.7,45.3,0,1.08,1.102040816,,n,n,0.02,0.2,3.671875,50.946875,4.156238236,0.766515109,0.766515109,
2,8/22/2018,82,A,f,9.55,1.5,7.8,1.75,40.2,-0.15,1.166666667,0.648148148,,n,n,0.02,0.25,3.671875,50.946875,4.176791196,1.535279944,1.535279944,
3,8/29/2018,2,A,m,13,5.15,7.75,5.25,58,-0.1,1.019417476,0.981308411,,n,n,0.2,0.1,3.761904762,50.15853659,3.039810789,0.891706273,1.007829989,
3,8/29/2018,3,A,m,11.9,3.95,7.8,4.1,54.6,0.15,1.037974684,1.037974684,,n,n,2,0.15,3.761904762,50.15853659,2.9796551,0.927735432,0.969191581,
3,8/29/2018,4,A,m,12.15,4.8,7.75,4.4,58.5,0.1,0.916666667,1.023255814,,n,n,0.02,-0.4,3.761904762,50.15853659,2.466698239,0.900277963,0.920045427,
3,8/29/2018,5,A,m,11.15,3.75,7.75,3.4,53.3,-0.1,0.906666667,0.971428571,,n,n,2,-0.35,3.761904762,50.15853659,2.70539711,0.857058156,0.828511534,
3,8/29/2018,6,A,m,12.95,5.85,8.05,4.9,NA,-0.6,0.837606838,0.890909091,,n,n,0.2,-0.95,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,7,A,m,13.95,5.95,7.8,6.15,NA,0.2,1.033613445,1.033613445,,n,n,2,0.2,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,8,A,m,14.3,6.05,7.75,6.55,62.8,0.45,1.082644628,1.073770492,,n,n,0,0.5,3.761904762,50.15853659,2.812054733,1.102349239,0.895518229,
3,8/29/2018,9,A,m,14.15,6.3,7.95,6.2,NA,0.25,0.984126984,1.042016807,,n,n,0.2,-0.1,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,10,A,m,13,5.4,7.8,5.2,59.4,0.4,0.962962963,1.083333333,,n,n,2,-0.2,3.761904762,50.15853659,2.752473108,1.137863929,0.75447597,
3,8/29/2018,11,A,m,12.3,4.6,8.15,4.15,NA,-0.25,0.902173913,0.943181818,,n,n,0.02,-0.45,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,12,A,m,12.15,3.2,8.3,3.85,NA,0.2,1.203125,1.054794521,,n,n,0,0.65,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,13,A,m,12.7,4.75,7.8,4.9,58,-0.05,1.031578947,0.98989899,,n,n,2,0.15,3.761904762,50.15853659,2.837156736,0.982433369,0.798407289,
3,8/29/2018,14,A,m,14.75,6.5,8.15,6.6,NA,0.1,1.015384615,1.015384615,,n,n,0.02,0.1,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,15,A,f,11.7,3.1,8.3,3.4,NA,0.3,1.096774194,1.096774194,,n,n,0,0.3,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,16,A,m,14.4,6.45,7.8,6.6,61.6,0.3,1.023255814,1.047619048,,n,n,2,0.15,3.761904762,50.15853659,3.046822454,1.024309692,0.957643296,
3,8/29/2018,17,A,m,13.2,5.3,7.8,5.4,56.7,0,1.018867925,1,,n,n,0.02,0.1,3.761904762,50.15853659,3.404996855,0.964582201,0.910163236,?
3,8/29/2018,18,A,f,10.5,2.15,7.95,2.55,NA,0.1,1.186046512,1.040816327,,y,y,0.2,0.4,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,19,A,m,13.3,5.2,7.75,5.55,58.4,0.2,1.067307692,1.037383178,,n,n,0.2,0.35,3.761904762,50.15853659,3.131493373,1.060631628,1.007486795,
3,8/29/2018,21,A,m,13.05,5.55,7.75,5.3,57.8,-0.3,0.954954955,0.946428571,,n,n,0.2,-0.25,3.761904762,50.15853659,3.108898612,0.882419423,0.853475396,
3,8/29/2018,22,A,m,12.95,5.35,8.1,4.85,NA,0.25,0.906542056,1.054347826,,n,n,0.02,-0.5,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,23,A,f,10,2.5,7.8,2.2,43.4,-0.25,0.88,0.897959184,,n,n,2,-0.3,3.761904762,50.15853659,3.792081692,0.903529095,1.123755212,
3,8/29/2018,24,A,m,13.2,5.15,7.95,5.25,NA,-0.15,1.019417476,0.972222222,,n,n,0.2,0.1,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,25,A,m,12.05,4,8.05,4,NA,0.1,1,1.025641026,,n,n,0.02,0,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,26,B,f,10.45,2.25,7.75,2.7,45.4,0.55,1.2,1.255813953,,n,n,0,0.45,3.761904762,50.15853659,3.928374429,1.066608296,1.066608296,
3,8/29/2018,27,A,f,10.3,2.6,7.75,2.55,46.1,-0.1,0.980769231,0.962264151,,y,y,0,-0.05,3.761904762,50.15853659,3.502604987,0.967736284,1.043342702,
3,8/29/2018,28,A,m,13.25,5.4,7.9,5.35,NA,0.05,0.990740741,1.009433962,,n,n,0.2,-0.05,3.761904762,50.15853659,NA,NA,NA,
3,8/29/2018,30,A,m,12.55,4.7,7.75,4.8,57,0.35,1.021276596,1.078651685,,n,n,0.02,0.1,3.761904762,50.15853659,2.967171654,0.907006341,0.784915527,
3,8/29/2018,32,A,m,14.35,6.2,7.75,6.6,58.8,0.6,1.064516129,1.1,,n,n,0.2,0.4,3.761904762,50.15853659,3.629529761,1.150860891,1.111001482,
